2026-07-23 17:33:27 | INFO    | monitor |   NVDA        ok         lastC=212.06  todayO=209.40  now=209.65  signals=[-]
2026-07-23 17:33:27 | INFO    | monitor |   0700.HK     TRIGGERED  lastC=440.60  todayO=440.20  now=445.20  signals=[ma_break]
2026-07-23 17:33:27 | INFO    | monitor |   7203.T      ok         lastC=2939.00  todayO=2926.00  now=2929.50  signals=[-]
2026-07-23 17:33:27 | INFO    | monitor |   SPY         ok         lastC=747.41  todayO=739.37  now=738.27  signals=[-]
2026-07-23 17:33:27 | INFO    | monitor | ----------------------------------------------------------------------
2026-07-23 17:33:27 | INFO    | monitor | Portfolio summary: 2 triggered / 4 healthy / 6 total
2026-07-23 17:33:27 | INFO    | monitor | Index summary:     2 triggered / 1 healthy / 3 total
2026-07-23 17:33:28 | INFO    | monitor.alerts | Opened issue #2
2026-07-23 17:33:28 | INFO    | monitor | Monitor run complete.
2026-07-23 17:41:52 | INFO    | monitor | ======================================================================
2026-07-23 17:41:52 | INFO    | monitor | Portfolio monitor starting — 2026-07-23T17:41:52.216409+00:00
2026-07-23 17:41:52 | INFO    | monitor | ======================================================================
2026-07-23 17:41:52 | INFO    | monitor.portfolio | Loaded 18 unique tickers from portfolio.csv
2026-07-23 17:41:52 | INFO    | monitor.data | Downloading daily bars for 21 tickers (attempt 1)...
2026-07-23 17:41:54 | INFO    | monitor.data | Normalised bars for 21/21 tickers
2026-07-23 17:41:56 | INFO    | monitor.data | Intraday snapshots populated for 21/21 tickers
2026-07-23 17:41:56 | INFO    | monitor |   [IDX] ^GSPC       ok         lastC=7498.96  todayO=7418.29  now=7399.04  signals=[-]
2026-07-23 17:41:56 | INFO    | monitor |   [IDX] ^IXIC       TRIGGERED  lastC=25690.90  todayO=25240.65  now=25110.45  signals=[ma_break]
2026-07-23 17:41:56 | INFO    | monitor |   [IDX] SMH         TRIGGERED  lastC=586.91  todayO=577.20  now=578.05  signals=[ma_break]
2026-07-23 17:41:56 | INFO    | monitor |   2802.HK     TRIGGERED  lastC=7.29  todayO=7.29  now=7.29  signals=[ma_break]
2026-07-23 17:41:56 | INFO    | monitor |   3145.HK     ok         lastC=14.64  todayO=14.66  now=14.68  signals=[-]
